 # of RX ,description,AMITRIPTYLINE,BUPROPION,CITALOPRAM,DESVENLAFAXINE,DOXEPIN,DULOXETINE,ESCITALOPRAM,FLUOXETINE,MIRTAZAPINE,NORTRIPTYLINE,OTHER,PAROXETINE,ROPINIROLE,SERTRALINE,TRAZODONE,VENLAFAXINE
  4 ,Age: 41-64 | Gender: Female | CITALOPRAM HYDROBROMIDE | ESCITALOPRAM OXALATE | Last AD: Diff & Remiss,,0.03571428571,0.7941176471,,,,0.4860883797,,,,0.3456561922,,,,,
  1 ,"Age: 41-64 | Gender: Female | CITALOPRAM HYDROBROMIDE | ESCITALOPRAM OXALATE | Last AD: Diff & Remiss | Num Previous Antidep: 2,3",,,,,,,0.4810606061,,,,,,,,,
  1 ,"Age: 41-64 | Gender: Female | CITALOPRAM HYDROBROMIDE | ESCITALOPRAM OXALATE | Last AD: Diff & Remiss | Num Previous Antidep: 2,3 | Num Previous Episodes: 2+",,,,,,,0.3611111111,,,,,,,,,
  1 ,Age: 41-64 | Gender: Female | CITALOPRAM HYDROBROMIDE | ESCITALOPRAM OXALATE | Last AD: Diff & Remiss | Num Previous Episodes: 2+,,,,,,,,,,,0.3378378378,,,,,
  3 ,Age: 41-64 | Gender: Female | CITALOPRAM HYDROBROMIDE | ESCITALOPRAM OXALATE | Last AD: Same & No Remiss,,,0.4855072464,,,,0.2036553525,,,,0.3005780347,,,,,
  1 ,"Age: 41-64 | Gender: Female | CITALOPRAM HYDROBROMIDE | ESCITALOPRAM OXALATE | Last AD: Same & No Remiss | Num Previous Antidep: 2,3",,,,,,,0.2024793388,,,,,,,,,
  2 ,"Age: 41-64 | Gender: Female | CITALOPRAM HYDROBROMIDE | ESCITALOPRAM OXALATE | Last AD: Same & No Remiss | Num Previous Antidep: 2,3 | Num Previous Episodes: 2+",,,0.4927536232,,,,0.2096069869,,,,,,,,,
  1 ,Age: 41-64 | Gender: Female | CITALOPRAM HYDROBROMIDE | ESCITALOPRAM OXALATE | Last AD: Same & No Remiss | Num Previous Episodes: 2+,,,0.5109034268,,,,,,,,,,,,,
  1 ,Age: 41-64 | Gender: Female | CITALOPRAM HYDROBROMIDE | ESCITALOPRAM OXALATE | Last AD: Same & No Remiss | Num Previous Episodes: 2+ | TRAZODONE HCL,,,,,,,,,,,0.4520547945,,,,,
  1 ,Age: 41-64 | Gender: Female | CITALOPRAM HYDROBROMIDE | ESCITALOPRAM OXALATE | Last AD: Same & No Remiss | TRAZODONE HCL,,,,,,,,,,,0.4139072848,,,,,
  2 ,Age: 41-64 | Gender: Female | CITALOPRAM HYDROBROMIDE | ESCITALOPRAM OXALATE | Last AD: Same & Remiss,,,0.7432188065,,,,0.6313559322,,,,,,,,,
  1 ,"Age: 41-64 | Gender: Female | CITALOPRAM HYDROBROMIDE | ESCITALOPRAM OXALATE | Last AD: Same & Remiss | Num Previous Antidep: 2,3 | Num Previous Episodes: 2+",,,0.6325301205,,,,,,,,,,,,,
  1 ,Age: 41-64 | Gender: Female | CITALOPRAM HYDROBROMIDE | ESCITALOPRAM OXALATE | Last AD: Same & Remiss | Num Previous Episodes: 2+,,,0.6515151515,,,,,,,,,,,,,
  1 ,Age: 41-64 | Gender: Female | CITALOPRAM HYDROBROMIDE | ESCITALOPRAM OXALATE | Last AD: Same & Remiss | TRAZODONE HCL,,,,,,,,,,,0.5925925926,,,,,
  2 ,"Age: 41-64 | Gender: Female | CITALOPRAM HYDROBROMIDE | ESCITALOPRAM OXALATE | MAJOR DEPRESSIVE DISORDER, RECURRENT EPISODE, UNSPECIFIED (dxo:ICD9:29630)",,,,,,,0.6,,,,0.5227272727,,,,,
  1 ,Age: 41-64 | Gender: Female | CITALOPRAM HYDROBROMIDE | ESCITALOPRAM OXALATE | MIRTAZAPINE,,,,,,,,,,,0.2796610169,,,,,
  1 ,Age: 41-64 | Gender: Female | CITALOPRAM HYDROBROMIDE | ESCITALOPRAM OXALATE | NORTRIPTYLINE HCL,,,,,,,,,,,0.3653846154,,,,,
  1 ,"Age: 41-64 | Gender: Female | CITALOPRAM HYDROBROMIDE | ESCITALOPRAM OXALATE | Num Previous Antidep: 2,3",,,,,,,,,,,,,,0.5909090909,,
  1 ,Age: 41-64 | Gender: Female | CITALOPRAM HYDROBROMIDE | ESCITALOPRAM OXALATE | Num Previous Episodes: 2+,,,0.649321267,,,,,,,,,,,,,
  1 ,Age: 41-64 | Gender: Female | CITALOPRAM HYDROBROMIDE | ESCITALOPRAM OXALATE | Num Previous Episodes: 2+ | TRAZODONE HCL,,,0.6666666667,,,,,,,,,,,,,
  2 ,"Age: 41-64 | Gender: Female | CITALOPRAM HYDROBROMIDE | ESCITALOPRAM OXALATE | PHARMACOLOGIC MANAGEMENT, INCLUDING PRESCRIPTION, USE, AND REVIEW OF MEDICATION WITH NO MORE THAN MINIMAL MEDICAL PSYCHOTHERAPY (px:CPT4:90862)",,,0.3082706767,,,,,,,,0.07407407407,,,,,
  1 ,"Age: 41-64 | Gender: Female | CITALOPRAM HYDROBROMIDE | ESCITALOPRAM OXALATE | PHARMACOLOGIC MANAGEMENT, INCLUDING PRESCRIPTION, USE, AND REVIEW OF MEDICATION WITH NO MORE THAN MINIMAL MEDICAL PSYCHOTHERAPY (px:CPT4:90862) | TRAZODONE HCL",,,,,,,,,,,0.1307692308,,,,,
  1 ,Age: 41-64 | Gender: Female | CITALOPRAM HYDROBROMIDE | ESCITALOPRAM OXALATE | PRAMIPEXOLE DI-HCL,,,,,,,,,,,0.5431034483,,,,,
  1 ,Age: 41-64 | Gender: Female | CITALOPRAM HYDROBROMIDE | ESCITALOPRAM OXALATE | ROPINIROLE HCL,,,,,,,,,,,0.4427480916,,,,,
  2 ,Age: 41-64 | Gender: Female | CITALOPRAM HYDROBROMIDE | ESCITALOPRAM OXALATE | SERTRALINE HCL,,,,,,,,,,,0.2101449275,,,0.5441176471,,
  4 ,Age: 41-64 | Gender: Female | CITALOPRAM HYDROBROMIDE | ESCITALOPRAM OXALATE | TRAZODONE HCL,,,0.5962962963,,,,0.3096330275,,,,0.3339070568,,,,0.01290322581,
  2 ,Age: 41-64 | Gender: Female | CITALOPRAM HYDROBROMIDE | ESCITALOPRAM OXALATE | VENLAFAXINE HCL,,,,,,,0.3551401869,,,,0.2727272727,,,,,
  1 ,Age: 41-64 | Gender: Female | CITALOPRAM HYDROBROMIDE | ESOMEPRAZOLE MAGNESIUM,,,0.7,,,,,,,,,,,,,
  1 ,Age: 41-64 | Gender: Female | CITALOPRAM HYDROBROMIDE | ESOMEPRAZOLE MAGNESIUM | Last AD: Same & No Remiss,,,0.456928839,,,,,,,,,,,,,
  1 ,Age: 41-64 | Gender: Female | CITALOPRAM HYDROBROMIDE | ESOMEPRAZOLE MAGNESIUM | Last AD: Same & Remiss,,,0.7588235294,,,,,,,,,,,,,
  1 ,"Age: 41-64 | Gender: Female | CITALOPRAM HYDROBROMIDE | ESSENTIAL HYPERTENSION, BENIGN (dxo:ICD9:4011)",,,0.6895705521,,,,,,,,,,,,,
  1 ,"Age: 41-64 | Gender: Female | CITALOPRAM HYDROBROMIDE | ESSENTIAL HYPERTENSION, BENIGN (dxo:ICD9:4011) | Last AD: Same & No Remiss",,,0.4074074074,,,,,,,,,,,,,
  1 ,"Age: 41-64 | Gender: Female | CITALOPRAM HYDROBROMIDE | ESSENTIAL HYPERTENSION, BENIGN (dxo:ICD9:4011) | Last AD: Same & Remiss",,,0.7135802469,,,,,,,,,,,,,
  1 ,"Age: 41-64 | Gender: Female | CITALOPRAM HYDROBROMIDE | ESSENTIAL HYPERTENSION, BENIGN (dxo:ICD9:4011) | Last AD: Same & Remiss | SIMVASTATIN",,,0.85,,,,,,,,,,,,,
  1 ,"Age: 41-64 | Gender: Female | CITALOPRAM HYDROBROMIDE | ESSENTIAL HYPERTENSION, BENIGN (dxo:ICD9:4011) | LISINOPRIL/HYDROCHLOROTHIAZIDE",,,0.6237623762,,,,,,,,,,,,,
  1 ,"Age: 41-64 | Gender: Female | CITALOPRAM HYDROBROMIDE | ESSENTIAL HYPERTENSION, BENIGN (dxo:ICD9:4011) | SIMVASTATIN",,,0.7772511848,,,,,,,,,,,,,
  1 ,"Age: 41-64 | Gender: Female | CITALOPRAM HYDROBROMIDE | ESTROGEN,CON/M-PROGEST ACET",,,0.7469879518,,,,,,,,,,,,,
  1 ,"Age: 41-64 | Gender: Female | CITALOPRAM HYDROBROMIDE | ESTROGEN,CON/M-PROGEST ACET | GYNECOLOGICAL EXAMINATION (dxo:ICD9:V723)",,,0.7337662338,,,,,,,,,,,,,
  1 ,"Age: 41-64 | Gender: Female | CITALOPRAM HYDROBROMIDE | ESTROGEN,CON/M-PROGEST ACET | Last AD: Same & No Remiss",,,0.4215686275,,,,,,,,,,,,,
  1 ,"Age: 41-64 | Gender: Female | CITALOPRAM HYDROBROMIDE | ESTROGEN,CON/M-PROGEST ACET | Last AD: Same & Remiss",,,0.7614678899,,,,,,,,,,,,,
  1 ,"Age: 41-64 | Gender: Female | CITALOPRAM HYDROBROMIDE | ESTROGENS, CONJUGATED",,,0.775862069,,,,,,,,,,,,,
  1 ,Age: 41-64 | Gender: Female | CITALOPRAM HYDROBROMIDE | ESZOPICLONE,,,0.6728110599,,,,,,,,,,,,,
  1 ,Age: 41-64 | Gender: Female | CITALOPRAM HYDROBROMIDE | ESZOPICLONE | Last AD: Same & Remiss,,,0.7881355932,,,,,,,,,,,,,
  1 ,Age: 41-64 | Gender: Female | CITALOPRAM HYDROBROMIDE | EXAMINATION OF EYES AND VISION (dxo:ICD9:V720),,,0.688172043,,,,,,,,,,,,,
  1 ,Age: 41-64 | Gender: Female | CITALOPRAM HYDROBROMIDE | EZETIMIBE/SIMVASTATIN,,,0.7175572519,,,,,,,,,,,,,
  1 ,Age: 41-64 | Gender: Female | CITALOPRAM HYDROBROMIDE | EZETIMIBE/SIMVASTATIN | Last AD: Same & Remiss,,,0.7522123894,,,,,,,,,,,,,
  1 ,Age: 41-64 | Gender: Female | CITALOPRAM HYDROBROMIDE | FENOFIBRATE,,,0.6960784314,,,,,,,,,,,,,
  1 ,Age: 41-64 | Gender: Female | CITALOPRAM HYDROBROMIDE | FEXOFENADINE/PSEUDOEPHEDRINE,,,0.7232142857,,,,,,,,,,,,,
  9 ,Age: 41-64 | Gender: Female | CITALOPRAM HYDROBROMIDE | FLUOXETINE HCL,,0.05630630631,0.5391891892,,,0.3470319635,0.2522796353,0.5540393013,,,0.2715803453,0.3725490196,,0.442455243,,0.5953488372
  4 ,Age: 41-64 | Gender: Female | CITALOPRAM HYDROBROMIDE | FLUOXETINE HCL | Last AD: Diff & No Remiss,,0.03738317757,0.75,,,,0.2926829268,,,,0.3170731707,,,,,
  1 ,"Age: 41-64 | Gender: Female | CITALOPRAM HYDROBROMIDE | FLUOXETINE HCL | Last AD: Diff & No Remiss | Num Previous Antidep: 2,3",,,,,,,,0.7076923077,,,,,,,,
  2 ,"Age: 41-64 | Gender: Female | CITALOPRAM HYDROBROMIDE | FLUOXETINE HCL | Last AD: Diff & No Remiss | Num Previous Antidep: 2,3 | Num Previous Episodes: 2+",,,0.6363636364,,,,,0.6807228916,,,,,,,,
  2 ,Age: 41-64 | Gender: Female | CITALOPRAM HYDROBROMIDE | FLUOXETINE HCL | Last AD: Diff & No Remiss | Num Previous Episodes: 2+,,,0.6357142857,,,,,,,,0.2977099237,,,,,
  1 ,Age: 41-64 | Gender: Female | CITALOPRAM HYDROBROMIDE | FLUOXETINE HCL | Last AD: Diff & No Remiss | TRAZODONE HCL,,,,,,,,,,,,,,,0.03149606299,
  3 ,Age: 41-64 | Gender: Female | CITALOPRAM HYDROBROMIDE | FLUOXETINE HCL | Last AD: Diff & Remiss,,,0.71875,,,,,0.7142857143,,,0.3712121212,,,,,
  2 ,Age: 41-64 | Gender: Female | CITALOPRAM HYDROBROMIDE | FLUOXETINE HCL | Last AD: Same & No Remiss,,,0.3755274262,,,,,0.3846153846,,,,,,,,
  1 ,"Age: 41-64 | Gender: Female | CITALOPRAM HYDROBROMIDE | FLUOXETINE HCL | Last AD: Same & No Remiss | Num Previous Antidep: 2,3",,,,,,,,0.4,,,,,,,,
  1 ,"Age: 41-64 | Gender: Female | CITALOPRAM HYDROBROMIDE | FLUOXETINE HCL | Last AD: Same & No Remiss | Num Previous Antidep: 2,3 | Num Previous Episodes: 2+",,,,,,,,0.3963963964,,,,,,,,
  1 ,Age: 41-64 | Gender: Female | CITALOPRAM HYDROBROMIDE | FLUOXETINE HCL | Last AD: Same & No Remiss | TRAZODONE HCL,,,,,,,,,,,0.5074626866,,,,,
  2 ,Age: 41-64 | Gender: Female | CITALOPRAM HYDROBROMIDE | FLUOXETINE HCL | Last AD: Same & Remiss,,,0.7401574803,,,,,0.6746031746,,,,,,,,
  1 ,Age: 41-64 | Gender: Female | CITALOPRAM HYDROBROMIDE | FLUOXETINE HCL | Last AD: Same & Remiss | TRAZODONE HCL,,,,,,,,,,,0.6237623762,,,,,
  1 ,"Age: 41-64 | Gender: Female | CITALOPRAM HYDROBROMIDE | FLUOXETINE HCL | MAJOR DEPRESSIVE DISORDER, RECURRENT EPISODE, UNSPECIFIED (dxo:ICD9:29630)",,,,,,,,0.731092437,,,,,,,,
  1 ,"Age: 41-64 | Gender: Female | CITALOPRAM HYDROBROMIDE | FLUOXETINE HCL | Num Previous Antidep: 2,3",,,,,,,,0.7085889571,,,,,,,,
  1 ,Age: 41-64 | Gender: Female | CITALOPRAM HYDROBROMIDE | FLUOXETINE HCL | Num Previous Episodes: 2+,,,0.6211180124,,,,,,,,,,,,,
  1 ,"Age: 41-64 | Gender: Female | CITALOPRAM HYDROBROMIDE | FLUOXETINE HCL | PHARMACOLOGIC MANAGEMENT, INCLUDING PRESCRIPTION, USE, AND REVIEW OF MEDICATION WITH NO MORE THAN MINIMAL MEDICAL PSYCHOTHERAPY (px:CPT4:90862)",,,,,,,,,,,0.141509434,,,,,
  3 ,Age: 41-64 | Gender: Female | CITALOPRAM HYDROBROMIDE | FLUOXETINE HCL | SERTRALINE HCL,,,0.4642857143,,,,,0.5094339623,,,0.2410714286,,,,,
  4 ,Age: 41-64 | Gender: Female | CITALOPRAM HYDROBROMIDE | FLUOXETINE HCL | TRAZODONE HCL,,,0.4006622517,,,,,0.4014336918,,,0.3333333333,,,,0.03311258278,
  2 ,Age: 41-64 | Gender: Female | CITALOPRAM HYDROBROMIDE | FLUOXETINE HCL | VENLAFAXINE HCL,,,0.4358974359,,,,,,,,0.1728395062,,,,,
  4 ,Age: 41-64 | Gender: Female | CITALOPRAM HYDROBROMIDE | GABAPENTIN,,,0.6893203883,,,0.476635514,0.3714285714,,,,0.448441247,,,,,
  1 ,Age: 41-64 | Gender: Female | CITALOPRAM HYDROBROMIDE | GABAPENTIN | Last AD: Diff & No Remiss,,,,,,,,,,,0.4563106796,,,,,
  1 ,Age: 41-64 | Gender: Female | CITALOPRAM HYDROBROMIDE | GABAPENTIN | Last AD: Diff & Remiss,,,,,,,,,,,0.4598540146,,,,,
  1 ,Age: 41-64 | Gender: Female | CITALOPRAM HYDROBROMIDE | GABAPENTIN | Last AD: Same & No Remiss,,,0.4324324324,,,,,,,,,,,,,
  1 ,Age: 41-64 | Gender: Female | CITALOPRAM HYDROBROMIDE | GABAPENTIN | Last AD: Same & Remiss,,,0.7177419355,,,,,,,,,,,,,
  1 ,Age: 41-64 | Gender: Female | CITALOPRAM HYDROBROMIDE | GABAPENTIN | SIMVASTATIN,,,0.7168141593,,,,,,,,,,,,,
  1 ,Age: 41-64 | Gender: Female | CITALOPRAM HYDROBROMIDE | GABAPENTIN | TRAZODONE HCL,,,,,,,,,,,0.5588235294,,,,,
  1 ,Age: 41-64 | Gender: Female | CITALOPRAM HYDROBROMIDE | GEMFIBROZIL,,,0.7236842105,,,,,,,,,,,,,
  2 ,Age: 41-64 | Gender: Female | CITALOPRAM HYDROBROMIDE | GENERALIZED ANXIETY DISORDER (dxo:ICD9:30002),,0.0380952381,,,,,,,,,0.3137254902,,,,,
  1 ,Age: 41-64 | Gender: Female | CITALOPRAM HYDROBROMIDE | GENERALIZED ANXIETY DISORDER (dxo:ICD9:30002) | Last AD: Diff & No Remiss,,0.02586206897,,,,,,,,,,,,,,
  1 ,Age: 41-64 | Gender: Female | CITALOPRAM HYDROBROMIDE | GUAIFENESIN/P-EPHED HCL,,,0.674796748,,,,,,,,,,,,,
  1 ,Age: 41-64 | Gender: Female | CITALOPRAM HYDROBROMIDE | GUAIFENESIN/PHENYLEPHRINE HCL,,,0.6655844156,,,,,,,,,,,,,
  5 ,Age: 41-64 | Gender: Female | CITALOPRAM HYDROBROMIDE | GYNECOLOGICAL EXAMINATION (dxo:ICD9:V723),,,0.6952975048,,,,0.2454873646,,,,0.3620071685,0.4708737864,,,,0.734082397
  1 ,"Age: 41-64 | Gender: Female | CITALOPRAM HYDROBROMIDE | GYNECOLOGICAL EXAMINATION (dxo:ICD9:V723) | INDIVIDUAL PSYCHOTHERAPY, INSIGHT ORIENTED, BEHAVIOR MODIFYING AND/OR SUPPORTIVE, IN AN OFFICE OR OUTPATIENT FACILITY, APPROXIMATELY 45 TO 50 MINUTES  (px:CPT4:90806)",,,0.4285714286,,,,,,,,,,,,,
  2 ,Age: 41-64 | Gender: Female | CITALOPRAM HYDROBROMIDE | GYNECOLOGICAL EXAMINATION (dxo:ICD9:V723) | Last AD: Diff & No Remiss,,,,,,,0.1315789474,,,,0.381294964,,,,,
  2 ,Age: 41-64 | Gender: Female | CITALOPRAM HYDROBROMIDE | GYNECOLOGICAL EXAMINATION (dxo:ICD9:V723) | Last AD: Diff & Remiss,,,,,,,0.1879194631,,,,0.2901554404,,,,,
  1 ,Age: 41-64 | Gender: Female | CITALOPRAM HYDROBROMIDE | GYNECOLOGICAL EXAMINATION (dxo:ICD9:V723) | Last AD: Same & No Remiss,,,0.4307359307,,,,,,,,,,,,,
  1 ,Age: 41-64 | Gender: Female | CITALOPRAM HYDROBROMIDE | GYNECOLOGICAL EXAMINATION (dxo:ICD9:V723) | Last AD: Same & No Remiss | Num Previous Episodes: 2+,,,0.43125,,,,,,,,,,,,,
  1 ,Age: 41-64 | Gender: Female | CITALOPRAM HYDROBROMIDE | GYNECOLOGICAL EXAMINATION (dxo:ICD9:V723) | Last AD: Same & Remiss,,,0.6552845528,,,,,,,,,,,,,
  1 ,Age: 41-64 | Gender: Female | CITALOPRAM HYDROBROMIDE | GYNECOLOGICAL EXAMINATION (dxo:ICD9:V723) | LORATADINE,,,0.75,,,,,,,,,,,,,
  2 ,Age: 41-64 | Gender: Female | CITALOPRAM HYDROBROMIDE | GYNECOLOGICAL EXAMINATION (dxo:ICD9:V723) | TRAZODONE HCL,,,0.6513761468,,,,,,,,0.6206896552,,,,,
  2 ,Age: 41-64 | Gender: Female | CITALOPRAM HYDROBROMIDE | HEADACHE (dxo:ICD9:7840),0.01457725948,,,,,,,,,0.06467661692,,,,,,
  1 ,Age: 41-64 | Gender: Female | CITALOPRAM HYDROBROMIDE | HEADACHE (dxo:ICD9:7840) | Last AD: Diff & No Remiss,0.0119047619,,,,,,,,,,,,,,,
  1 ,Age: 41-64 | Gender: Female | CITALOPRAM HYDROBROMIDE | HEADACHE (dxo:ICD9:7840) | NORTRIPTYLINE HCL,,,,,,,,,,0.1640625,,,,,,
  1 ,Age: 41-64 | Gender: Female | CITALOPRAM HYDROBROMIDE | HEMATURIA (dxo:ICD9:5997),,,0.6802721088,,,,,,,,,,,,,
  1 ,Age: 41-64 | Gender: Female | CITALOPRAM HYDROBROMIDE | HYDROCODONE/ACETAMINOPHEN,,,,,,,,,,,0.504950495,,,,,
  1 ,Age: 41-64 | Gender: Female | CITALOPRAM HYDROBROMIDE | HYDROCODONE/HOMATROPINE,,,0.7238493724,,,,,,,,,,,,,
  1 ,Age: 41-64 | Gender: Female | CITALOPRAM HYDROBROMIDE | HYDROCODONE/HOMATROPINE | Last AD: Same & No Remiss,,,0.4,,,,,,,,,,,,,
  1 ,Age: 41-64 | Gender: Female | CITALOPRAM HYDROBROMIDE | HYDROCODONE/HOMATROPINE | Last AD: Same & Remiss,,,0.6788990826,,,,,,,,,,,,,
  1 ,Age: 41-64 | Gender: Female | CITALOPRAM HYDROBROMIDE | HYDROXYCHLOROQUINE SULFATE,,,0.6666666667,,,,,,,,,,,,,
  1 ,Age: 41-64 | Gender: Female | CITALOPRAM HYDROBROMIDE | IBUPROFEN,,,0.7210884354,,,,,,,,,,,,,
  1 ,Age: 41-64 | Gender: Female | CITALOPRAM HYDROBROMIDE | IMIPRAMINE HCL | Last AD: Same & No Remiss,,,,,,,,,,,0.47,,,,,
  3 ,"Age: 41-64 | Gender: Female | CITALOPRAM HYDROBROMIDE | INDIVIDUAL PSYCHOTHERAPY, INSIGHT ORIENTED, BEHAVIOR MODIFYING AND/OR SUPPORTIVE, IN AN OFFICE OR OUTPATIENT FACILITY, APPROXIMATELY 20 TO 30 MINUTES  (px:CPT4:90805)",,,0.3477537438,,,,0.1962616822,,,,0.1152941176,,,,,
  1 ,"Age: 41-64 | Gender: Female | CITALOPRAM HYDROBROMIDE | INDIVIDUAL PSYCHOTHERAPY, INSIGHT ORIENTED, BEHAVIOR MODIFYING AND/OR SUPPORTIVE, IN AN OFFICE OR OUTPATIENT FACILITY, APPROXIMATELY 20 TO 30 MINUTES  (px:CPT4:90805) | INDIVIDUAL PSYCHOTHERAPY, INSIGHT ORIENTED, BEHAVIOR MODIFYING AND/OR SUPPORTIVE, IN AN OFFICE OR OUTPATIENT FACILITY, APPROXIMATELY 45 TO 50 MINUTES  (px:CPT4:90806)",,,0.2314049587,,,,,,,,,,,,,
  1 ,"Age: 41-64 | Gender: Female | CITALOPRAM HYDROBROMIDE | INDIVIDUAL PSYCHOTHERAPY, INSIGHT ORIENTED, BEHAVIOR MODIFYING AND/OR SUPPORTIVE, IN AN OFFICE OR OUTPATIENT FACILITY, APPROXIMATELY 20 TO 30 MINUTES  (px:CPT4:90805) | Last AD: Same & No Remiss",,,0.2149253731,,,,,,,,,,,,,
  1 ,"Age: 41-64 | Gender: Female | CITALOPRAM HYDROBROMIDE | INDIVIDUAL PSYCHOTHERAPY, INSIGHT ORIENTED, BEHAVIOR MODIFYING AND/OR SUPPORTIVE, IN AN OFFICE OR OUTPATIENT FACILITY, APPROXIMATELY 20 TO 30 MINUTES  (px:CPT4:90805) | Last AD: Same & No Remiss | PHARMACOLOGIC MANAGEMENT, INCLUDING PRESCRIPTION, USE, AND REVIEW OF MEDICATION WITH NO MORE THAN MINIMAL MEDICAL PSYCHOTHERAPY (px:CPT4:90862)",,,0.1061946903,,,,,,,,,,,,,
  1 ,"Age: 41-64 | Gender: Female | CITALOPRAM HYDROBROMIDE | INDIVIDUAL PSYCHOTHERAPY, INSIGHT ORIENTED, BEHAVIOR MODIFYING AND/OR SUPPORTIVE, IN AN OFFICE OR OUTPATIENT FACILITY, APPROXIMATELY 20 TO 30 MINUTES  (px:CPT4:90805) | MAJOR DEPRESSIVE DISORDER, RECURRENT EPISODE, UNSPECIFIED (dxo:ICD9:29630)",,,0.7128712871,,,,,,,,,,,,,
  2 ,"Age: 41-64 | Gender: Female | CITALOPRAM HYDROBROMIDE | INDIVIDUAL PSYCHOTHERAPY, INSIGHT ORIENTED, BEHAVIOR MODIFYING AND/OR SUPPORTIVE, IN AN OFFICE OR OUTPATIENT FACILITY, APPROXIMATELY 20 TO 30 MINUTES  (px:CPT4:90805) | PHARMACOLOGIC MANAGEMENT, INCLUDING PRESCRIPTION, USE, AND REVIEW OF MEDICATION WITH NO MORE THAN MINIMAL MEDICAL PSYCHOTHERAPY (px:CPT4:90862)",,,0.2429378531,,,,,,,,0.07602339181,,,,,
  2 ,"Age: 41-64 | Gender: Female | CITALOPRAM HYDROBROMIDE | INDIVIDUAL PSYCHOTHERAPY, INSIGHT ORIENTED, BEHAVIOR MODIFYING AND/OR SUPPORTIVE, IN AN OFFICE OR OUTPATIENT FACILITY, APPROXIMATELY 20 TO 30 MINUTES  (px:CPT4:90805) | PHARMACOLOGIC MANAGEMENT, INCLUDING PRESCRIPTION, USE, AND REVIEW OF MEDICATION WITH NO MORE THAN MINIMAL MEDICAL PSYCHOTHERAPY (px:CPT4:90862) | TRAZODONE HCL",,,0.2547169811,,,,,,,,0.1172413793,,,,,
  1 ,"Age: 41-64 | Gender: Female | CITALOPRAM HYDROBROMIDE | INDIVIDUAL PSYCHOTHERAPY, INSIGHT ORIENTED, BEHAVIOR MODIFYING AND/OR SUPPORTIVE, IN AN OFFICE OR OUTPATIENT FACILITY, APPROXIMATELY 20 TO 30 MINUTES  (px:CPT4:90805) | PSYCHIATRIC DIAGNOSTIC INTERVIEW EXAMINATION (px:CPT4:90801)",,,,,,,,,,,0.07432432432,,,,,
  2 ,"Age: 41-64 | Gender: Female | CITALOPRAM HYDROBROMIDE | INDIVIDUAL PSYCHOTHERAPY, INSIGHT ORIENTED, BEHAVIOR MODIFYING AND/OR SUPPORTIVE, IN AN OFFICE OR OUTPATIENT FACILITY, APPROXIMATELY 20 TO 30 MINUTES  (px:CPT4:90805) | TRAZODONE HCL",,,0.2660944206,,,,,,,,0.1353846154,,,,,
  8 ,"Age: 41-64 | Gender: Female | CITALOPRAM HYDROBROMIDE | INDIVIDUAL PSYCHOTHERAPY, INSIGHT ORIENTED, BEHAVIOR MODIFYING AND/OR SUPPORTIVE, IN AN OFFICE OR OUTPATIENT FACILITY, APPROXIMATELY 45 TO 50 MINUTES  (px:CPT4:90806)",,,0.4202101051,,,0.25,0.1195335277,0.2372881356,,,0.1857410882,0.2838709677,,0.2736842105,,0.4015151515
  2 ,"Age: 41-64 | Gender: Female | CITALOPRAM HYDROBROMIDE | INDIVIDUAL PSYCHOTHERAPY, INSIGHT ORIENTED, BEHAVIOR MODIFYING AND/OR SUPPORTIVE, IN AN OFFICE OR OUTPATIENT FACILITY, APPROXIMATELY 45 TO 50 MINUTES  (px:CPT4:90806) | Last AD: Diff & No Remiss",,,,,,,0.09027777778,,,,0.1518324607,,,,,
  3 ,"Age: 41-64 | Gender: Female | CITALOPRAM HYDROBROMIDE | INDIVIDUAL PSYCHOTHERAPY, INSIGHT ORIENTED, BEHAVIOR MODIFYING AND/OR SUPPORTIVE, IN AN OFFICE OR OUTPATIENT FACILITY, APPROXIMATELY 45 TO 50 MINUTES  (px:CPT4:90806) | Last AD: Diff & No Remiss | PSYCHIATRIC DIAGNOSTIC INTERVIEW EXAMINATION (px:CPT4:90801)",,,,,,,0.09032258065,,,,0.1174496644,,,,,0.2403846154
  1 ,"Age: 41-64 | Gender: Female | CITALOPRAM HYDROBROMIDE | INDIVIDUAL PSYCHOTHERAPY, INSIGHT ORIENTED, BEHAVIOR MODIFYING AND/OR SUPPORTIVE, IN AN OFFICE OR OUTPATIENT FACILITY, APPROXIMATELY 45 TO 50 MINUTES  (px:CPT4:90806) | Last AD: Diff & No Remiss | PSYCHIATRIC DIAGNOSTIC INTERVIEW EXAMINATION (px:CPT4:90801) | TRAZODONE HCL",,,,,,,,,,,0.25,,,,,
  1 ,"Age: 41-64 | Gender: Female | CITALOPRAM HYDROBROMIDE | INDIVIDUAL PSYCHOTHERAPY, INSIGHT ORIENTED, BEHAVIOR MODIFYING AND/OR SUPPORTIVE, IN AN OFFICE OR OUTPATIENT FACILITY, APPROXIMATELY 45 TO 50 MINUTES  (px:CPT4:90806) | Last AD: Same & No Remiss",,,0.3012820513,,,,,,,,,,,,,
